FarmID,Sampling,Test,GreaterLess,Concentration,Micro Notes
R1,D,APC,,160,
R25,E,APC,,340,
R24,E,APC,,1230,
R23,E,APC,,840,
R22,E,APC,,1740,
R21,E,APC,,390,
R20,E,APC,,970,
R19,E,APC,,880,
R18,E,APC,,810,
R17,E,APC,,1510,
R16,E,APC,,190,
R15,E,APC,,2230,
R14,E,APC,,140,
R13,E,APC,,6920.450439,
R12,E,APC,,880,
R11,E,APC,,420,
R10,E,APC,,230,
R9,E,APC,,2620,
R8,E,APC,,1140,
R7,E,APC,,280,
R6,E,APC,,15438.74219,
R5,E,APC,,21523.17969,
R4,E,APC,,610,
R3,E,APC,,47000,
R2,E,APC,,1540,
R1,E,APC,,100,
R28,E,APC,,270,
R27,E,APC,,210,
R26,E,APC,,220,
R1,F,APC,,80,
R2,F,APC,,490,
R3,F,APC,,700,
R4,F,APC,,1590,
R5,F,APC,,1010,
R6,F,APC,,11542.23926,
R7,F,APC,,290,
R8,F,APC,,400,
R9,F,APC,,17673.84131,
R10,F,APC,,240,
R11,F,APC,,280,
R12,F,APC,,3530,
R13,F,APC,,4946.708008,
R14,F,APC,,23509.93359,
R15,F,APC,,13137.86,
R16,F,APC,,390,
R17,F,APC,,350,
R18,F,APC,,168000,
R19,F,APC,,380,
R20,F,APC,,9970.530273,
R21,F,APC,,450,
R22,F,APC,,1080,Estimated
R77,F,APC,,570,
R69,F,APC,,570,
R67,F,APC,,1730,
R76,F,APC,,90,
R70,F,APC,,320,
R66,F,APC,,110,
R65,F,APC,,910,
R63,F,APC,,2320,
R62,F,APC,,450,
R61,F,APC,,90,
R60,F,APC,,660,
R59,F,APC,,1590,
R58,F,APC,,350,
R56,F,APC,,1390,
R45,F,APC,,630,
R45,F,APC,,3380,
R33,F,APC,,840,
R33,F,APC,,2270,
R28,F,APC,,370,
R27,F,APC,,420,
R26,F,APC,,17180,
R25,F,APC,,319000,
R24,F,APC,,940,
R23,F,APC,,4046.187988,
R66,E,APC,,170,
R101,F,APC,,580,
R101,F,APC,,580,
R90,F,APC,,1560,
R90,F,APC,,1560,
R89,F,APC,,102000,
R89,F,APC,,102000,
R88,F,APC,,140,
R88,F,APC,,140,
R87,F,APC,,210,
R87,F,APC,,210,
R86,F,APC,,420,
R86,F,APC,,420,
R85,F,APC,,240,
R85,F,APC,,240,
R84,F,APC,,12856.65967,
R84,F,APC,,12856.65967,
R83,F,APC,,320,
R83,F,APC,,320,
R82,F,APC,,290,
R82,F,APC,,290,
R81,F,APC,,890.0879517,
R81,F,APC,,890.0879517,
R80,F,APC,,1080,
R80,F,APC,,840,
R79,F,APC,,93000,
R96,G,APC,,1660,
R96,G,APC,,1660,
R95,G,APC,,1240,
R95,G,APC,,1240,
R94,G,APC,,6095.297119,
R94,G,APC,,6095.297119,
R93,G,APC,,380,
R93,G,APC,,380,
R92,G,APC,,67000,
R92,G,APC,,67000,
R91,G,APC,,1130,
R91,G,APC,,1130,
R91,G,APC,,1130,
R75,G,APC,,420,
R75,G,APC,,420,
R74,G,APC,,640,
R74,G,APC,,640,
R73,G,APC,,1370,
R73,G,APC,,1370,
R72,G,APC,,790,
R72,G,APC,,790,
R71,G,APC,,3910,
R71,G,APC,,3910,
R70,G,APC,,1760,
R70,G,APC,,1760,
R59,E,LPC,,47.51007652,
R58,E,LPC,,89.08139801,
R55,E,LPC,,59.38759804,
R54,E,LPC,,5.938759804,
R53,E,LPC,,11.87751961,
R50,E,LPC,,17.81627941,
R49,E,LPC,,23.75503922,
R48,E,LPC,,53.44883728,
R47,E,LPC,,53.44883919,
R46,E,LPC,,47.51007843,
R45,E,LPC,,29.69379807,
R44,E,LPC,,59.38759613,
R42,E,LPC,,290.9992371,
R40,E,LPC,,47.51007843,
R39,E,LPC,,5.938759804,
R38,E,LPC,,344.4480591,
R37,E,LPC,,23.75503922,
R36,E,LPC,,23.75503922,
R35,E,LPC,,83.14263916,
R34,E,LPC,,29.69379807,
R33,E,LPC,,17.81627941,
R32,E,LPC,,23.75503826,
R31,E,LPC,,29.69379902,
R30,E,LPC,,11.87751961,
R29,E,LPC,,5.938759804,
R99,G,APC,,280,
R98,G,APC,,810,
R97,G,APC,,870,
R90,G,APC,,410,
R89,G,APC,,770,
R88,G,APC,,310,
R87,G,APC,,190,
R84,G,APC,,1070,
R83,G,APC,,5476.485156,
R82,G,APC,,390,
R81,G,APC,,1980,
R80,G,APC,,2320,
R79,G,APC,,6543.935547,
R99,H,APC,,1850,SPREADER
R98,H,APC,,770,SPREADER
R96,H,APC,,2330,
R95,H,APC,,1720,
R93,H,APC,,1200,
R92,H,APC,,2800,
