FarmID,Sampling,Test,GreaterLess,Concentration,Micro Notes
R88,D,APC,,630,
R89,D,APC,,9780,
R90,D,APC,,1760,
R101,D,APC,,1020,
R76,C,APC,,180,
R29,E,MSC,<,0.125,
R30,E,MSC,,8,
R31,E,MSC,<,0.125,
R32,E,MSC,<,0.125,
R33,E,MSC,,198,
R34,E,MSC,,26,
R35,E,MSC,,16.5,
R36,E,MSC,,6,
R37,E,MSC,,3,
R39,E,MSC,<,0.125,
R40,E,MSC,,2,
R42,E,MSC,,296,
R44,E,MSC,,13,
R45,E,MSC,,17,
R46,E,MSC,,46,
R47,E,MSC,,2.5,
R48,E,MSC,,13.5,
R49,E,MSC,,15,
R50,E,MSC,,2.5,
R53,E,MSC,,2,
R54,E,MSC,,3.5,
R55,E,MSC,,2,
R58,E,MSC,,24.5,
R59,E,MSC,,43,
R29,E,TSC,<,0.125,
R30,E,TSC,,4,
R31,E,TSC,,1,
R32,E,TSC,<,0.125,
R33,E,TSC,,2.5,
R34,E,TSC,,8,
R35,E,TSC,,6,
R36,E,TSC,,2.5,
R37,E,TSC,,4,
R38,E,TSC,,6.5,
R39,E,TSC,,9,
R40,E,TSC,,6,
R42,E,TSC,,31,
R44,E,TSC,,4.5,SPREADER
R45,E,TSC,,3,
R46,E,TSC,,11,
R47,E,TSC,,2,SPREADER
R48,E,TSC,,3,
R49,E,TSC,,3,
R50,E,TSC,<,0.125,
R53,E,TSC,,5.5,
R54,E,TSC,,0.5,
R55,E,TSC,,2.5,
R58,E,TSC,,10,
R59,E,TSC,,16.5,
R29,E,APC,,650,
R30,E,APC,,540,
R31,E,APC,,530,
R32,E,APC,,770,
R33,E,APC,,1550,
R34,E,APC,,4340,
R35,E,APC,,670,
R36,E,APC,,370,
R37,E,APC,,4100,
R38,E,APC,,5840,
R39,E,APC,,1100,
R40,E,APC,,1350,
R42,E,APC,,3970,
R44,E,APC,,450,
R45,E,APC,,1880,
R46,E,APC,,1440,
R47,E,APC,,23700,
R48,E,APC,,700,
R49,E,APC,,1590,
R50,E,APC,,1590,
R53,E,APC,,3330,
R54,E,APC,,850,
R55,E,APC,,1420,
R58,E,APC,,560,
R59,E,APC,,660,
R60,E,APC,,2990,
R61,E,APC,,140,
R62,E,APC,,560,
R63,E,APC,,1310,
R65,E,APC,,690,
R70,E,APC,,1180,
R71,E,APC,,480,
R72,E,APC,,1560,
R73,E,APC,,460,
R74,E,APC,,15200,
R75,E,APC,,540,
R78,E,APC,,1100,
R79,E,APC,,142000,
R80,E,APC,,860,
R81,E,APC,,2420,
R82,E,APC,,1430,
R83,E,APC,,570,
R84,E,APC,,7260,
R87,E,APC,,270,
R88,E,APC,,320,
R89,E,APC,,210000,
R90,E,APC,,550,
R91,E,APC,,210,
R92,E,APC,,6750,
R93,E,APC,,200,
R60,E,LPC,,5,
R61,E,LPC,<,1.25,
R62,E,LPC,,55,
R63,E,LPC,,10,
R65,E,LPC,<,1.25,
R70,E,LPC,<,1.25,
R71,E,LPC,,55,
R72,E,LPC,,100,
R73,E,LPC,,55,
R74,E,LPC,,240,
R75,E,LPC,,45,
R78,E,LPC,,300,
R79,E,LPC,,11880,(X4) Estimated
R80,E,LPC,,105,
R81,E,LPC,,30,
R82,E,LPC,,20,
R83,E,LPC,,40,
R84,E,LPC,,205,
R87,E,LPC,,15,
R88,E,LPC,,25,
R89,E,LPC,,795,
R90,E,LPC,,70,
R91,E,LPC,,50,
R92,E,LPC,,115,
R93,E,LPC,<,1.25,
R60,E,MSC,,2,
R61,E,MSC,,6,
R62,E,MSC,,19,
R63,E,MSC,,2.5,
R65,E,MSC,,0.5,
R70,E,MSC,,1,
R71,E,MSC,,7,
R72,E,MSC,,6.5,
R73,E,MSC,,8.5,
R74,E,MSC,,10,
R75,E,MSC,,20.5,
R78,E,MSC,,8.5,
R79,E,MSC,,10.5,
R80,E,MSC,,3,
R81,E,MSC,,35,
R82,E,MSC,,4.5,
R83,E,MSC,,10,
R84,E,MSC,,18.5,
R87,E,MSC,,4.5,
R88,E,MSC,,1.5,
R89,E,MSC,,5,
R90,E,MSC,,12,
R91,E,MSC,,15,
R92,E,MSC,,20,
R93,E,MSC,,7.5,
R60,E,TSC,,4.5,
R61,E,TSC,,2,
R62,E,TSC,,4,
R63,E,TSC,,2.5,
R65,E,TSC,<,0.125,
R70,E,TSC,<,0.125,
R71,E,TSC,,5.5,
R72,E,TSC,,3.5,
R73,E,TSC,,4.5,
R74,E,TSC,,4.5,
R75,E,TSC,,7.5,
R78,E,TSC,,16.5,
R79,E,TSC,,8,
R80,E,TSC,,2.5,
R81,E,TSC,,12.5,
R82,E,TSC,,2.5,
R83,E,TSC,,3.5,
R84,E,TSC,,6,
R87,E,TSC,,3.5,
R88,E,TSC,,3,
R89,E,TSC,,1.5,
R90,E,TSC,,16,
R91,E,TSC,,7.5,
R92,E,TSC,,13,
R93,E,TSC,,7.5,
R56,E,APC,,710,
R67,E,APC,,4850,
R68,E,APC,,1920,
R69,E,APC,,670,
R76,E,APC,,460,
R77,E,APC,,7610,
R85,E,APC,,3240,
R86,E,APC,,1710,
R94,E,APC,,1440,
R95,E,APC,,1520,
R96,E,APC,,1560,
R97,E,APC,,1580,
R98,E,APC,,4840,
R99,E,APC,,8190,
R100,E,APC,,44400,
R101,E,APC,,560,
R102,E,APC,,102000,
R29,F,APC,,920,
R30,F,APC,,1020,
R31,F,APC,,410,
R32,F,APC,,2380,
R34,F,APC,,6030,
R35,F,APC,,980,
R36,F,APC,,600,
R37,F,APC,,25000,
R56,E,MSC,,12.5,
R67,E,MSC,,7.5,
R68,E,MSC,,2,
R69,E,MSC,,0.5,
R76,E,MSC,,0.5,
R77,E,MSC,,4.5,
R85,E,MSC,,11,
R86,E,MSC,,11,
R94,E,MSC,,2.5,
R95,E,MSC,,45.5,
R96,E,MSC,,29.5,
R97,E,MSC,,5.5,
R31,F,MSC,<,0.125,
R32,F,MSC,,40,
R35,F,MSC,<,0.125,
R37,F,MSC,,1.5,
R56,E,LPC,<,1.25,
R68,E,LPC,<,1.25,
R69,E,LPC,<,1.25,
R76,E,LPC,<,1.25,
R77,E,LPC,<,1.25,
R85,E,LPC,<,1.25,
R86,E,LPC,<,1.25,
R94,E,LPC,<,1.25,
R95,E,LPC,<,1.25,
R96,E,LPC,<,1.25,
R97,E,LPC,<,1.25,
R98,E,LPC,<,1.25,
R100,E,LPC,<,1.25,
R99,E,LPC,<,1.25,
R101,E,LPC,<,1.25,
R102,E,LPC,<,1.25,
R56,E,TSC,,18.5,
R67,E,TSC,,17,
R68,E,TSC,<,0.125,
R69,E,TSC,<,0.125,
R76,E,TSC,<,0.125,
R77,E,TSC,,3,
R86,E,TSC,,10,Estimated
R94,E,TSC,,5,Estimated
R95,E,TSC,,8.5,
R96,E,TSC,,14.5,
R97,E,TSC,,1.5,
R98,E,TSC,,2,
R99,E,TSC,<,0.125,
R100,E,TSC,<,0.125,
R101,E,TSC,,1,
R29,F,TSC,<,0.125,
R30,F,TSC,,1.5,
R31,F,TSC,,4.5,
R32,F,TSC,,2,
R34,F,TSC,,7.5,
R35,F,TSC,,6,
R37,F,TSC,<,0.125,
R1,E,LPC,,5,
R2,E,LPC,,65,
R3,E,LPC,,65,
R4,E,LPC,<,1.25,
R5,E,LPC,,65,
R6,E,LPC,,40,
R7,E,LPC,,35,
R8,E,LPC,,10,
R9,E,LPC,,5,
R10,E,LPC,<,1.25,
R11,E,LPC,,150,
R12,E,LPC,,95,
